,Care,Fairness,Loyalty,Authority,Sanctity
,Harm,Cheating,Betrayal,Subversion,Degredation
123,-0.08925046,-0.07310079,-0.11218259,-0.11456703,0.00461383
124,-0.0013809986,0.037898358,-0.093957804,-0.15791662,0.0155991465
125,0.06909099,-0.002058017,-0.10546465,-0.124799386,0.05948458
126,-0.003985293,0.016280858,-0.08326067,-0.08064793,0.055552274
127,-0.043937385,-0.008373243,-0.06056995,-0.21727866,0.029975874
128,-0.077840894,-0.0003802767,-0.10513462,-0.15584093,0.037131682
129,-0.0483539,0.008665612,-0.08481631,-0.09990041,0.045416985
130,-0.010826878,-0.036704317,-0.15818664,-0.17760898,-0.017450603
131,0.038218766,0.009223162,-0.077005036,-0.1134792,0.063704155
132,-0.07820137,-0.024288291,-0.12350332,-0.13806407,-0.019244578
133,0.052739136,0.09204479,-0.0072763963,-0.10864738,0.085874595
134,0.030555466,0.0015725801,-0.05344032,-0.10625635,0.03290493
135,-0.11656754,-0.04948099,-0.1545849,-0.15874006,0.05328336
136,-0.071538106,-0.014358775,-0.073656015,-0.08678335,0.01258048
137,-0.0442267,0.013283579,-0.047692634,-0.163922,0.009537014
138,-0.0669671,-0.06955385,-0.043759935,-0.09436694,0.012340494
139,-0.06610574,-0.06534839,-0.123001754,-0.12548102,-0.018549737
140,-0.062490053,-0.07062267,-0.13637087,-0.19363174,0.04770434
141,-0.14934106,-0.039233305,-0.11817938,-0.13334447,0.0066562872
142,-0.16509545,-0.04047338,-0.15473709,-0.15745144,-0.11708467
143,0.00072118454,0.04201653,-1.7790124e-05,-0.014591489,0.02607949
144,0.053118065,0.010094065,-0.0031439909,-0.024783716,0.053697534
145,-0.010291172,0.11735072,0.04637755,-0.022927204,0.08931231
146,-0.077576056,0.012522504,-0.110909045,-0.16702092,-0.00981224
147,-0.012243376,-0.05415463,-0.07994048,-0.063874,-0.00018303422
148,0.09864911,-0.022734966,-0.040466003,-0.09129468,-0.034478292
149,-0.056417063,-0.012381228,-0.056535225,-0.053622603,0.01589355
150,-0.153595,0.052915245,-0.1412366,-0.12296033,-0.02440361
151,-0.1593343,-0.01598616,-0.1578502,-0.083106175,-0.10652669
152,-0.09458354,0.06855456,-0.05367533,-0.06641527,-0.046506885
153,-0.20503548,-0.008123759,-0.12724544,-0.08341897,-0.07074605
154,-0.12775385,0.036599815,0.011454447,-0.0026354594,0.020528
155,-0.24143183,0.013304688,-0.07848113,-0.14053231,0.014073214
156,-0.16318756,-0.045388877,-0.09645787,-0.14557731,0.010931103
157,-0.20679897,0.0048568295,-0.11940886,-0.18763138,-0.14851147
158,-0.064435825,0.058002524,-0.07397916,-0.096753314,0.03226241
159,-0.11235095,0.016970541,-0.08690464,-0.10461092,-0.06817611
160,-0.12689584,-0.06640524,-0.03809156,-0.070486836,-0.0022830367
161,0.003557928,-0.04163256,-0.12111592,-0.13946621,0.034292433
162,-0.07544638,-0.028330222,-0.119856514,-0.044644542,-0.045694143
163,-0.13399556,0.018482864,-0.16517162,-0.17358255,0.020595953
164,-0.0134749515,0.0026830272,-0.1736471,-0.170515,-0.010483567
165,-0.076625705,-0.03304987,-0.103995115,-0.079866186,-0.059502468
166,-0.073616065,-0.025416028,-0.07190861,-0.007732951,-0.03034395
167,-0.018211666,-0.019375533,-0.03934181,-0.091487065,-0.016713496
168,-0.06691321,0.018294977,-0.04361654,-0.03309384,0.013578518
169,-0.04297041,0.030294407,-0.081728205,-0.008121431,-0.04737266
170,0.03777842,0.021481702,-0.021656696,-0.0113507975,0.012592917
171,-0.07005102,0.020591065,-0.14710009,-0.14983384,0.0042254366
172,0.05180369,-0.005229663,-0.07857764,-0.067415535,-0.056738153
173,0.024204852,-0.066674665,-0.047504123,-0.13165699,0.01890415
174,-0.13545416,-0.065496445,-0.123262905,-0.008328734,-0.18449616
175,0.049303036,-0.024401028,-0.121974304,-0.14499159,-0.0019525681
176,-0.010175992,0.06079428,-0.077977955,-0.106599,0.061940495
177,-0.0601364,-0.047398668,-0.032798346,-0.01817466,0.059748165
178,-0.053394012,-0.031983256,-0.049593158,-0.14377055,0.11678219
179,0.04085192,-0.009484389,-0.04188592,0.06399165,-0.06806629
